Reg No,Expenditure Category,Election Period,Amount
CC10419,Other,2010-2012,20680.87
CC10419,"Advertising, Media & Collateral Materials",2010-2012,63351.91
CC10419,"Vehicle, Gas & Parking",2010-2012,1321.00
CC10419,Office Supplies,2010-2012,1221.50
CC10419,"Printing, Postage, Mailing & Freight",2010-2012,38215.60
CC10419,"Filing Fee, Escheat, Fine",2010-2012,50.00
CC10419,Campaign Headquarters,2010-2012,6189.34
CC10419,"Contract, Employee & Professional Services",2010-2012,29800.58
CC10421,"Advertising, Media & Collateral Materials",2008-2010,1174.08
CC10421,Other,2008-2010,247.18
CC10421,"Contract, Employee & Professional Services",2008-2010,82.72
CC10421,Food & Beverages,2008-2010,345.00
CC10421,Office Supplies,2008-2010,112.77
CC10421,"Printing, Postage, Mailing & Freight",2008-2010,979.18
CC10421,"Bank Charges, Merchant Fees & Adjustments",2010-2012,12.50
CC10422,"Advertising, Media & Collateral Materials",2004-2008,27969.11
CC10422,Food & Beverages,2004-2008,1138.00
CC10422,Office Supplies,2004-2008,34.65
CC10422,Postage/Mailing,2004-2008,427.48
CC10422,"Filing Fee, Escheat, Fine",2004-2008,250.00
CC10422,"Contract, Employee & Professional Services",2004-2008,6360.53
CC10422,"Advertising, Media & Collateral Materials",2008-2012,1073.23
CC10424,Postage/Mailing,2006-2008,4413.08
CC10424,"Printing, Postage, Mailing & Freight",2006-2008,2280.83
CC10424,Campaign Headquarters,2006-2008,210.00
CC10424,"Advertising, Media & Collateral Materials",2006-2008,11522.92
CC10424,"Contract, Employee & Professional Services",2006-2008,200.00
CC10424,Other,2006-2008,271.17
CC10424,"Bank Charges, Merchant Fees & Adjustments",2006-2008,41.00
CC10424,Food & Beverages,2006-2008,1115.23
CC10425,Travel & Lodging,2004-2008,546.39
CC10425,Other,2004-2008,60.00
CC10425,Office Supplies,2004-2008,105.39
CC10425,"Advertising, Media & Collateral Materials",2004-2008,2257.28
CC10425,"Filing Fee, Escheat, Fine",2004-2008,25.00
CC10425,Food & Beverages,2004-2008,165.30
CC10425,"Printing, Postage, Mailing & Freight",2004-2008,47.39
CC10425,Candidate Fundraiser Tickets,2004-2008,100.00
CC10425,Postage/Mailing,2004-2008,100.00
CC10427,"Surveys, Polls, Research & Voter Lists",2006-2008,197.36
CC10427,Office Supplies,2006-2008,54.42
CC10427,Campaign Headquarters,2006-2008,160.00
CC10427,"Printing, Postage, Mailing & Freight",2006-2008,8434.28
CC10427,"Filing Fee, Escheat, Fine",2006-2008,250.00
CC10427,Food & Beverages,2006-2008,99.43
CC10427,"Contract, Employee & Professional Services",2006-2008,808.88
CC10427,Postage/Mailing,2006-2008,1799.96
CC10427,"Advertising, Media & Collateral Materials",2006-2008,366.30
CC10427,Other,2008-2010,50.00
CC10427,"Printing, Postage, Mailing & Freight",2008-2010,460.00
CC10428,Candidate Fundraiser Tickets,2006-2008,215.00
CC10428,"Filing Fee, Escheat, Fine",2006-2008,25.00
CC10428,Food & Beverages,2006-2008,293.45
CC10428,Other,2006-2008,1384.50
CC10428,"Vehicle, Gas & Parking",2006-2008,50.00
CC10428,Office Supplies,2006-2008,374.26
CC10428,Contribution to Political Party,2006-2008,150.00
CC10428,"Bank Charges, Merchant Fees & Adjustments",2006-2008,46.57
CC10428,Travel & Lodging,2006-2008,886.41
CC10428,Postage/Mailing,2006-2008,4852.09
CC10428,"Printing, Postage, Mailing & Freight",2006-2008,8132.15
CC10428,Travel & Lodging,2008-2010,656.68
CC10428,Food & Beverages,2008-2010,1920.33
CC10428,"Printing, Postage, Mailing & Freight",2008-2010,4180.61
CC10428,"Contract, Employee & Professional Services",2008-2010,2946.10
CC10428,Candidate Fundraiser Tickets,2008-2010,80.00
CC10428,"Bank Charges, Merchant Fees & Adjustments",2008-2010,63.00
CC10428,"Advertising, Media & Collateral Materials",2008-2010,12071.67
CC10428,"Vehicle, Gas & Parking",2008-2010,3049.64
CC10428,Contribution to Political Party,2008-2010,122.00
CC10428,Postage/Mailing,2008-2010,4405.89
CC10428,Office Supplies,2008-2010,154.54
CC10428,Donations,2008-2010,465.00
CC10428,Utilities,2008-2010,48.00
CC10428,Other,2008-2010,2754.64
CC10428,"Bank Charges, Merchant Fees & Adjustments",2010-2012,74.00
CC10428,"Advertising, Media & Collateral Materials",2010-2012,4737.79
CC10428,Hawaii Election Campaign Fund,2010-2012,378.00
CC10428,"Vehicle, Gas & Parking",2010-2012,40.26
CC10428,Other,2010-2012,87.94
CC10428,"Contract, Employee & Professional Services",2010-2012,1287.00
CC10429,Other,2006-2008,15862.70
CC10429,"Bank Charges, Merchant Fees & Adjustments",2006-2008,25.00
CC10429,Campaign Headquarters,2006-2008,9928.31
CC10429,Insurance,2006-2008,989.78
CC10429,Utilities,2006-2008,4406.06
CC10429,Travel & Lodging,2006-2008,49.98
CC10429,Food & Beverages,2006-2008,17570.15
CC10429,"Surveys, Polls, Research & Voter Lists",2006-2008,50.00
CC10429,"Contract, Employee & Professional Services",2006-2008,8182.03
CC10429,"Advertising, Media & Collateral Materials",2006-2008,69950.19
CC10429,"Printing, Postage, Mailing & Freight",2006-2008,55289.46
CC10429,Postage/Mailing,2006-2008,7702.14
CC10429,Office Supplies,2006-2008,1042.84
CC10429,"Bank Charges, Merchant Fees & Adjustments",2008-2010,159.76
CC10429,"Advertising, Media & Collateral Materials",2008-2010,26688.82
CC10429,Travel & Lodging,2008-2010,936.76
CC10429,"Filing Fee, Escheat, Fine",2008-2010,500.00
CC10429,Insurance,2008-2010,1183.44
CC10429,Other,2008-2010,20323.46
CC10429,"Printing, Postage, Mailing & Freight",2008-2010,14036.99
CC10429,"Contract, Employee & Professional Services",2008-2010,893.22
CC10429,Utilities,2008-2010,4390.31
CC10429,Campaign Headquarters,2008-2010,10677.08
CC10429,Office Supplies,2008-2010,1823.93
CC10429,Donations,2008-2010,1025.50
CC10429,Food & Beverages,2008-2010,50444.98
CC10429,Postage/Mailing,2008-2010,17192.59
CC10429,Durable Assets (Supplies/Equipment),2008-2010,4682.90
CC10429,Insurance,2010-2014,1092.92
CC10429,Travel & Lodging,2010-2014,5101.21
CC10429,Other,2010-2014,43595.43
CC10429,Durable Assets (Supplies/Equipment),2010-2014,4008.42
CC10429,"Filing Fee, Escheat, Fine",2010-2014,500.00
CC10429,"Advertising, Media & Collateral Materials",2010-2014,33635.64
CC10429,Donations,2010-2014,3006.00
CC10429,"Contract, Employee & Professional Services",2010-2014,5966.07
CC10429,Campaign Headquarters,2010-2014,18564.27
CC10429,Postage/Mailing,2010-2014,17329.05
CC10429,"Bank Charges, Merchant Fees & Adjustments",2010-2014,15.00
CC10429,Office Supplies,2010-2014,3524.96
CC10429,Food & Beverages,2010-2014,75513.01
CC10429,Contribution to Political Party,2010-2014,1170.00
CC10429,Utilities,2010-2014,3417.15
CC10429,"Printing, Postage, Mailing & Freight",2010-2014,45044.98
CC10429,"Bank Charges, Merchant Fees & Adjustments",2014-2018,457.24
CC10429,Donations,2014-2018,5556.64
CC10429,Postage/Mailing,2014-2018,7332.05
CC10429,Travel & Lodging,2014-2018,10931.49
CC10429,Contribution to Political Party,2014-2018,6750.00
CC10429,Other,2014-2018,63823.63
CC10429,"Printing, Postage, Mailing & Freight",2014-2018,5686.30
CC10429,"Contract, Employee & Professional Services",2014-2018,187788.06
CC10429,Food & Beverages,2014-2018,24271.71
CC10429,Office Supplies,2014-2018,4586.30
CC10429,"Filing Fee, Escheat, Fine",2014-2018,750.00
CC10429,"Advertising, Media & Collateral Materials",2014-2018,80491.38
CC10429,"Filing Fee, Escheat, Fine",2018-2020,775.00
CC10429,"Bank Charges, Merchant Fees & Adjustments",2018-2020,108.13
CC10429,"Printing, Postage, Mailing & Freight",2018-2020,4621.00
CC10429,"Advertising, Media & Collateral Materials",2018-2020,6689.56
CC10429,Food & Beverages,2018-2020,571.50
CC10429,Office Supplies,2018-2020,168.00
CC10429,Donations,2020-2022,700.00
CC10429,"Printing, Postage, Mailing & Freight",2020-2022,204.00
CC10429,"Advertising, Media & Collateral Materials",2020-2022,471.20
CC10429,"Bank Charges, Merchant Fees & Adjustments",2020-2022,55.93
CC10430,"Printing, Postage, Mailing & Freight",2004-2008,928.00
CC10430,"Advertising, Media & Collateral Materials",2004-2008,1341.77
CC10433,"Contract, Employee & Professional Services",2006-2008,225.00
CC10433,Postage/Mailing,2006-2008,2730.00
CC10433,Hawaii Election Campaign Fund,2006-2008,50.00
CC10433,"Printing, Postage, Mailing & Freight",2006-2008,2298.68
CC10434,"Advertising, Media & Collateral Materials",2004-2008,2388.44
CC10435,Office Supplies,2006-2008,33.32
CC10435,"Vehicle, Gas & Parking",2006-2008,93.84
CC10435,Other,2006-2008,42.82
CC10435,Travel & Lodging,2006-2008,170.00
CC10435,Utilities,2006-2008,120.51
CC10435,Food & Beverages,2006-2008,156.54
CC10435,Other,2010-2012,12250.00
CC10435,"Advertising, Media & Collateral Materials",2010-2012,1.00
CC10439,Office Supplies,2004-2008,20.25
CC10439,"Filing Fee, Escheat, Fine",2004-2008,25.00
CC10439,"Advertising, Media & Collateral Materials",2004-2008,2500.00
CC10439,"Bank Charges, Merchant Fees & Adjustments",2004-2008,3.00
CC10440,Food & Beverages,2006-2008,5437.19
CC10440,Campaign Headquarters,2006-2008,1320.44
CC10440,"Advertising, Media & Collateral Materials",2006-2008,2888.94
CC10440,"Vehicle, Gas & Parking",2006-2008,6.55
CC10440,Office Supplies,2006-2008,261.13
CC10440,"Filing Fee, Escheat, Fine",2006-2008,350.00
CC10440,"Bank Charges, Merchant Fees & Adjustments",2006-2008,70.00
CC10440,"Printing, Postage, Mailing & Freight",2006-2008,20.20
CC10440,Other,2006-2008,1321.74
CC10446,Travel & Lodging,2004-2008,344.00
CC10446,Campaign Headquarters,2004-2008,77.45
CC10446,Other,2004-2008,99.94
CC10446,"Printing, Postage, Mailing & Freight",2004-2008,2000.93
CC10446,Office Supplies,2004-2008,27.06
CC10450,"Advertising, Media & Collateral Materials",2004-2008,2492.26
CC10450,"Bank Charges, Merchant Fees & Adjustments",2004-2008,43.20
CC10450,Food & Beverages,2004-2008,687.70
CC10450,Other,2004-2008,333.86
CC10450,"Printing, Postage, Mailing & Freight",2004-2008,497.38
CC10451,Travel & Lodging,2006-2008,50.00
CC10451,"Advertising, Media & Collateral Materials",2006-2008,8494.77
CC10451,"Printing, Postage, Mailing & Freight",2006-2008,5152.90
CC10451,Other,2006-2008,720.83
CC10451,"Bank Charges, Merchant Fees & Adjustments",2006-2008,54.30
CC10451,"Filing Fee, Escheat, Fine",2008-2010,2000.00
CC10451,"Bank Charges, Merchant Fees & Adjustments",2008-2010,4.00
CC10451,Other,2010-2012,9822.38
CC10452,Food & Beverages,2006-2008,2.10
CC10452,Other,2006-2008,262.00
CC10452,Postage/Mailing,2006-2008,8.40
CC10452,"Contract, Employee & Professional Services",2006-2008,47.59
CC10452,Office Supplies,2006-2008,36.08
CC10452,"Advertising, Media & Collateral Materials",2006-2008,1682.76
CC10452,"Bank Charges, Merchant Fees & Adjustments",2006-2008,20.20
CC10453,Food & Beverages,2004-2008,457.43
CC10453,"Bank Charges, Merchant Fees & Adjustments",2004-2008,24.00
CC10453,Office Supplies,2004-2008,20.00
CC10453,Postage/Mailing,2004-2008,798.98
CC10453,Other,2004-2008,92.21
CC10453,"Filing Fee, Escheat, Fine",2004-2008,25.00
CC10453,"Advertising, Media & Collateral Materials",2004-2008,7682.33
CC10453,"Contract, Employee & Professional Services",2004-2008,781.67
CC10453,"Printing, Postage, Mailing & Freight",2004-2008,2934.25
CC10455,Postage/Mailing,2006-2008,14775.39
CC10455,"Printing, Postage, Mailing & Freight",2006-2008,25271.62
CC10455,Campaign Headquarters,2006-2008,134.57
CC10455,"Vehicle, Gas & Parking",2006-2008,17.25
CC10455,"Bank Charges, Merchant Fees & Adjustments",2006-2008,49.36
CC10455,"Filing Fee, Escheat, Fine",2006-2008,25.00
CC10455,Office Supplies,2006-2008,912.53
CC10455,"Advertising, Media & Collateral Materials",2006-2008,314.14
CC10455,Food & Beverages,2006-2008,1652.53
CC10455,Other,2006-2008,461.81
CC10455,"Contract, Employee & Professional Services",2006-2008,75.00
CC10455,"Printing, Postage, Mailing & Freight",2008-2010,329.84
CC10455,"Advertising, Media & Collateral Materials",2008-2010,74.42
CC10455,Food & Beverages,2008-2010,2376.00
CC10455,"Surveys, Polls, Research & Voter Lists",2008-2010,68.06
CC10455,Candidate Fundraiser Tickets,2008-2010,250.00
CC10455,Other,2008-2010,3089.33
CC10455,Donations,2008-2010,1750.00
CC10455,"Filing Fee, Escheat, Fine",2008-2010,225.00
CC10455,Office Supplies,2008-2010,240.75
CC10455,Utilities,2008-2010,47.51
CC10455,Postage/Mailing,2008-2010,139.59
CC10457,Postage/Mailing,2004-2008,434.00
CC10457,"Vehicle, Gas & Parking",2004-2008,285.86
CC10457,Office Supplies,2004-2008,110.62
CC10457,"Bank Charges, Merchant Fees & Adjustments",2004-2008,14.25
CC10457,"Advertising, Media & Collateral Materials",2004-2008,19943.97
CC10457,"Contract, Employee & Professional Services",2004-2008,200.00
CC10457,Other,2004-2008,399.49
CC10457,"Printing, Postage, Mailing & Freight",2004-2008,8886.49
CC10457,Other,2008-2012,4439.28
CC10457,"Bank Charges, Merchant Fees & Adjustments",2008-2012,5.00
CC10457,Food & Beverages,2008-2012,4014.47
CC10457,"Contract, Employee & Professional Services",2008-2012,100.00
CC10458,"Filing Fee, Escheat, Fine",2004-2008,25.00
CC10458,Travel & Lodging,2004-2008,941.69
CC10458,Other,2004-2008,100.00
CC10458,Food & Beverages,2004-2008,390.07
CC10458,Office Supplies,2004-2008,204.76
CC10458,Utilities,2004-2008,491.34
CC10458,"Advertising, Media & Collateral Materials",2004-2008,33147.89
CC10458,"Bank Charges, Merchant Fees & Adjustments",2004-2008,70.37
CC10458,Postage/Mailing,2004-2008,210.00
CC10458,Donations,2004-2008,25.00
CC10458,"Advertising, Media & Collateral Materials",2008-2012,3436.49
CC10458,Food & Beverages,2008-2012,4014.47
CC10460,Other,2006-2008,795.00
CC10460,Postage/Mailing,2006-2008,381.00
CC10460,Employee Services,2006-2008,300.00
CC10460,"Printing, Postage, Mailing & Freight",2006-2008,1213.94
CC10461,Office Supplies,2004-2008,590.80
CC10461,"Printing, Postage, Mailing & Freight",2004-2008,351.04
CC10461,Other,2004-2008,2161.26
CC10461,Food & Beverages,2004-2008,26.98
CC10461,"Advertising, Media & Collateral Materials",2004-2008,5030.23
CC10461,Postage/Mailing,2004-2008,1869.35
CC10464,"Printing, Postage, Mailing & Freight",2004-2008,5092.70
CC10464,Other,2004-2008,446.74
CC10464,Food & Beverages,2004-2008,729.19
CC10464,"Advertising, Media & Collateral Materials",2004-2008,566.77
CC10464,Office Supplies,2004-2008,144.85
CC10464,Travel & Lodging,2004-2008,1422.03
CC10464,"Vehicle, Gas & Parking",2004-2008,111.13
CC10465,Candidate Fundraiser Tickets,2008-2012,870.00
CC10465,Donations,2008-2012,492.94
CC10465,Other,2008-2012,1354.00
CC10466,"Printing, Postage, Mailing & Freight",2006-2008,9530.14
CC10466,Other,2006-2008,2326.38
CC10466,Postage/Mailing,2006-2008,5003.48
CC10466,"Advertising, Media & Collateral Materials",2006-2008,1663.83
CC10466,"Bank Charges, Merchant Fees & Adjustments",2006-2008,15.00
CC10466,"Vehicle, Gas & Parking",2008-2010,60.05
CC10466,Other,2008-2010,434.38
CC10466,Candidate Fundraiser Tickets,2008-2010,19.45
CC10466,Food & Beverages,2008-2010,2512.06
CC10466,"Contract, Employee & Professional Services",2008-2010,452.36
CC10466,Postage/Mailing,2008-2010,7552.35
CC10466,Campaign Headquarters,2008-2010,371.79
CC10466,"Printing, Postage, Mailing & Freight",2008-2010,8908.64
CC10466,"Advertising, Media & Collateral Materials",2008-2010,400.00
CC10466,"Bank Charges, Merchant Fees & Adjustments",2010-2012,77.00
CC10466,Durable Assets (Supplies/Equipment),2010-2012,1135.58
CC10466,Food & Beverages,2010-2012,4551.22
CC10466,Other,2010-2012,670.67
CC10466,"Printing, Postage, Mailing & Freight",2010-2012,4904.66
CC10466,Postage/Mailing,2010-2012,4616.89
CC10466,"Advertising, Media & Collateral Materials",2010-2012,365.14
CC10466,"Contract, Employee & Professional Services",2010-2012,288.17
CC10466,Office Supplies,2010-2012,21.55
CC10466,Donations,2010-2012,250.00
CC10466,Other,2012-2014,1997.50
CC10466,Postage/Mailing,2012-2014,2539.08
CC10466,Durable Assets (Supplies/Equipment),2012-2014,1014.16
CC10466,"Bank Charges, Merchant Fees & Adjustments",2012-2014,72.00
CC10466,"Printing, Postage, Mailing & Freight",2012-2014,3955.59
CC10466,"Vehicle, Gas & Parking",2012-2014,142.03
CC10466,Office Supplies,2012-2014,268.75
CC10466,"Surveys, Polls, Research & Voter Lists",2012-2014,37.05
CC10466,"Filing Fee, Escheat, Fine",2012-2014,250.00
CC10466,Food & Beverages,2012-2014,5405.99
CC10466,Office Supplies,2014-2016,903.72
CC10466,Food & Beverages,2014-2016,8841.97
CC10466,"Vehicle, Gas & Parking",2014-2016,192.40
CC10466,Travel & Lodging,2014-2016,1684.16
CC10466,Other,2014-2016,12617.83
CC10466,"Contract, Employee & Professional Services",2014-2016,450.00
CC10466,Donations,2014-2016,150.00
CC10466,Durable Assets (Supplies/Equipment),2014-2016,2035.12
CC10466,Postage/Mailing,2014-2016,2179.12
CC10466,"Printing, Postage, Mailing & Freight",2014-2016,3442.15
CC10466,"Surveys, Polls, Research & Voter Lists",2014-2016,47.50
CC10466,"Bank Charges, Merchant Fees & Adjustments",2014-2016,12.00
CC10466,Office Supplies,2016-2018,651.84
CC10466,Food & Beverages,2016-2018,10827.54
CC10466,Donations,2016-2018,200.00
CC10466,"Advertising, Media & Collateral Materials",2016-2018,625.00
CC10466,"Bank Charges, Merchant Fees & Adjustments",2016-2018,507.00
CC10466,Candidate Fundraiser Tickets,2016-2018,2000.00
CC10466,Postage/Mailing,2016-2018,2922.04
CC10466,Other,2016-2018,11056.59
CC10466,"Filing Fee, Escheat, Fine",2016-2018,250.00
CC10466,"Printing, Postage, Mailing & Freight",2016-2018,3779.52
CC10466,Travel & Lodging,2016-2018,4756.64
CC10466,Food & Beverages,2018-2020,7298.73
CC10466,"Printing, Postage, Mailing & Freight",2018-2020,18149.00
CC10466,Other,2018-2020,1563.69
CC10466,Donations,2018-2020,930.00
CC10466,"Vehicle, Gas & Parking",2018-2020,8.00
CC10466,"Advertising, Media & Collateral Materials",2018-2020,3537.05
CC10466,Events & Activities,2018-2020,1050.05
CC10466,Postage/Mailing,2018-2020,375.00
CC10466,"Filing Fee, Escheat, Fine",2018-2020,250.00
CC10466,Durable Assets (Supplies/Equipment),2018-2020,2205.91
CC10466,Office Supplies,2018-2020,1646.97
CC10466,"Surveys, Polls, Research & Voter Lists",2018-2020,360.00
CC10466,"Contract, Employee & Professional Services",2018-2020,235.60
CC10466,Membership & Subscription Fees,2018-2020,350.00
CC10466,"Bank Charges, Merchant Fees & Adjustments",2018-2020,26.48
CC10466,Contribution to Political Party,2018-2020,20.00
CC10466,Travel & Lodging,2018-2020,7162.67
CC10466,Membership & Subscription Fees,2020-2022,100.00
CC10466,"Advertising, Media & Collateral Materials",2020-2022,518.36
CC10466,Events & Activities,2020-2022,260.01
CC10466,Donations,2020-2022,467.52
CC10466,Office Supplies,2020-2022,716.20
CC10466,Conference Fees,2020-2022,15.00
CC10466,Food & Beverages,2020-2022,1648.20
CC10467,"Surveys, Polls, Research & Voter Lists",2006-2008,11.20
CC10467,"Printing, Postage, Mailing & Freight",2006-2008,2076.88
CC10467,Other,2006-2008,61.57
CC10467,Postage/Mailing,2006-2008,1773.00
CC10467,Campaign Headquarters,2006-2008,812.25
CC10467,Food & Beverages,2006-2008,809.80
CC10467,"Contract, Employee & Professional Services",2006-2008,75.00
CC10467,"Advertising, Media & Collateral Materials",2006-2008,5702.92
CC10467,Other,2008-2010,200.00
CC10467,Food & Beverages,2008-2010,950.57
CC10467,Postage/Mailing,2008-2010,38.52
CC10467,"Advertising, Media & Collateral Materials",2008-2010,295.00
CC10469,Food & Beverages,2006-2008,4632.21
CC10469,Other,2006-2008,2053.83
CC10469,"Contract, Employee & Professional Services",2006-2008,1350.00
CC10469,"Vehicle, Gas & Parking",2006-2008,40.35
CC10469,Postage/Mailing,2006-2008,6141.07
CC10469,Office Supplies,2006-2008,683.44
CC10469,"Bank Charges, Merchant Fees & Adjustments",2006-2008,11.50
CC10469,"Advertising, Media & Collateral Materials",2006-2008,11324.93
CC10469,Hawaii Election Campaign Fund,2006-2008,200.00
CC10469,"Printing, Postage, Mailing & Freight",2006-2008,17523.97
CC10469,Campaign Headquarters,2006-2008,2075.89
CC10469,"Vehicle, Gas & Parking",2008-2010,87.41
CC10469,"Advertising, Media & Collateral Materials",2008-2010,8460.08
CC10469,Food & Beverages,2008-2010,11992.54
CC10469,"Printing, Postage, Mailing & Freight",2008-2010,3016.67
CC10469,Other,2008-2010,9194.24
CC10469,Hawaii Election Campaign Fund,2008-2010,150.00
CC10469,Postage/Mailing,2008-2010,3020.00
CC10469,Insurance,2008-2010,466.38
CC10469,Office Supplies,2008-2010,38.14
CC10469,Donations,2008-2010,921.00
CC10469,"Filing Fee, Escheat, Fine",2008-2010,25.00
CC10469,"Bank Charges, Merchant Fees & Adjustments",2008-2010,481.00
CC10469,Travel & Lodging,2008-2010,760.46
CC10469,"Contract, Employee & Professional Services",2008-2010,2875.00
CC10469,Campaign Headquarters,2008-2010,4052.07
CC10469,"Contract, Employee & Professional Services",2010-2012,6703.42
CC10469,"Advertising, Media & Collateral Materials",2010-2012,21605.64
CC10469,Postage/Mailing,2010-2012,3192.45
CC10469,Campaign Headquarters,2010-2012,2281.24
CC10469,Food & Beverages,2010-2012,8808.70
CC10469,Other,2010-2012,1007.00
CC10469,Insurance,2010-2012,678.08
CC10469,"Printing, Postage, Mailing & Freight",2010-2012,7595.22
CC10469,Travel & Lodging,2010-2012,605.55
CC10469,"Bank Charges, Merchant Fees & Adjustments",2010-2012,167.00
CC10469,Hawaii Election Campaign Fund,2010-2012,810.00
CC10469,Donations,2010-2012,1509.00
CC10469,Office Supplies,2010-2012,191.06
CC10469,Food & Beverages,2012-2014,685.00
CC10469,"Contract, Employee & Professional Services",2012-2014,4811.66
CC10469,"Bank Charges, Merchant Fees & Adjustments",2012-2014,27.00
CC10469,Campaign Headquarters,2012-2014,2242.48
CC10469,"Bank Charges, Merchant Fees & Adjustments",2014-2016,10.00
CC10469,"Bank Charges, Merchant Fees & Adjustments",2016-2018,50.00
CC10469,Hawaii Election Campaign Fund,2016-2018,7.50
CC10469,"Printing, Postage, Mailing & Freight",2018-2020,233.82
CC10469,"Filing Fee, Escheat, Fine",2018-2020,200.00
CC10469,"Bank Charges, Merchant Fees & Adjustments",2018-2020,37.00
CC10470,"Contract, Employee & Professional Services",2006-2008,151.80
CC10470,Food & Beverages,2006-2008,2760.52
CC10470,"Advertising, Media & Collateral Materials",2006-2008,1073.30
CC10470,Other,2006-2008,105.73
CC10470,Office Supplies,2006-2008,449.49
CC10470,Postage/Mailing,2006-2008,12021.05
CC10470,"Surveys, Polls, Research & Voter Lists",2006-2008,394.72
CC10470,"Printing, Postage, Mailing & Freight",2006-2008,13005.76
CC10470,"Contract, Employee & Professional Services",2008-2010,261.78
CC10470,Other,2008-2010,2038.37
CC10470,Campaign Headquarters,2008-2010,100.00
CC10470,Postage/Mailing,2008-2010,2318.83
CC10470,"Printing, Postage, Mailing & Freight",2008-2010,4082.34
CC10470,Postage/Mailing,2010-2012,4000.00
CC10470,"Contract, Employee & Professional Services",2010-2012,3330.78
CC10470,"Printing, Postage, Mailing & Freight",2010-2012,12930.97
CC10470,"Advertising, Media & Collateral Materials",2010-2012,3753.89
CC10470,"Surveys, Polls, Research & Voter Lists",2010-2012,376.89
CC10470,Food & Beverages,2010-2012,580.62
CC10470,"Printing, Postage, Mailing & Freight",2012-2016,926.70
CC10470,Postage/Mailing,2012-2016,3764.52
CC10470,Other,2012-2016,159.95
CC10471,Office Supplies,2006-2008,125.00
CC10471,"Filing Fee, Escheat, Fine",2006-2008,25.00
CC10471,"Advertising, Media & Collateral Materials",2006-2008,170.00
CC10471,"Contract, Employee & Professional Services",2006-2008,608.33
CC10471,Other,2006-2008,42.44
CC10471,Donations,2006-2008,15.00
CC10471,"Printing, Postage, Mailing & Freight",2006-2008,656.77
CC10471,Food & Beverages,2006-2008,72.81
CC10471,"Bank Charges, Merchant Fees & Adjustments",2006-2008,150.00
CC10472,"Filing Fee, Escheat, Fine",2006-2008,250.00
CC10472,Food & Beverages,2006-2008,2211.17
CC10472,Durable Assets (Supplies/Equipment),2006-2008,214.07
CC10472,Office Supplies,2006-2008,82.32
CC10472,"Surveys, Polls, Research & Voter Lists",2006-2008,1036.70
CC10472,Postage/Mailing,2006-2008,11552.58
CC10472,Other,2006-2008,634.79
CC10472,Donations,2006-2008,150.00
CC10472,"Printing, Postage, Mailing & Freight",2006-2008,13228.57
CC10472,"Bank Charges, Merchant Fees & Adjustments",2006-2008,30.98
CC10472,Postage/Mailing,2009-2012,9834.63
CC10472,Travel & Lodging,2009-2012,1075.44
CC10472,"Printing, Postage, Mailing & Freight",2009-2012,25009.12
CC10472,Durable Assets (Supplies/Equipment),2009-2012,2560.18
CC10472,"Bank Charges, Merchant Fees & Adjustments",2009-2012,53.00
CC10472,"Filing Fee, Escheat, Fine",2009-2012,250.00
CC10472,Office Supplies,2009-2012,549.02
CC10472,Other,2009-2012,4874.75
CC10472,Candidate Fundraiser Tickets,2009-2012,500.00
CC10472,Food & Beverages,2009-2012,19183.34
CC10472,"Contract, Employee & Professional Services",2009-2012,24658.83
CC10472,Contribution to Political Party,2009-2012,185.00
CC10472,Campaign Headquarters,2009-2012,1650.00
CC10472,Taxes & Insurance,2009-2012,167.58
CC10472,Donations,2009-2012,2280.61
CC10472,"Surveys, Polls, Research & Voter Lists",2009-2012,160.20
CC10472,"Advertising, Media & Collateral Materials",2009-2012,358.65
CC10472,Hawaii Election Campaign Fund,2012-2016,50.00
CC10472,"Contract, Employee & Professional Services",2012-2016,7993.93
CC10472,Candidate Fundraiser Tickets,2012-2016,2680.00
CC10472,"Filing Fee, Escheat, Fine",2012-2016,250.00
CC10472,Contribution to Political Party,2012-2016,60.00
CC10472,Campaign Headquarters,2012-2016,5235.60
CC10472,Donations,2012-2016,4438.00
CC10472,Other,2012-2016,31058.30
CC10472,Office Supplies,2012-2016,218.37
CC10472,Food & Beverages,2012-2016,35034.86
CC10472,"Printing, Postage, Mailing & Freight",2012-2016,3650.59
CC10472,Postage/Mailing,2012-2016,1394.81
CC10472,Travel & Lodging,2012-2016,12368.34
CC10472,Durable Assets (Supplies/Equipment),2012-2016,1150.77
CC10472,"Printing, Postage, Mailing & Freight",2016-2022,3106.53
CC10472,Durable Assets (Supplies/Equipment),2016-2022,2912.03
CC10472,Donations,2016-2022,8805.91
CC10472,Postage/Mailing,2016-2022,129.80
CC10472,Candidate Fundraiser Tickets,2016-2022,48504.12
CC10472,Office Supplies,2016-2022,740.20
CC10472,Conference Fees,2016-2022,20.00
CC10472,Contribution to Political Party,2016-2022,10000.00
CC10472,Other,2016-2022,45332.59
CC10472,"Filing Fee, Escheat, Fine",2016-2022,719.80
CC10472,Travel & Lodging,2016-2022,3038.36
CC10472,"Advertising, Media & Collateral Materials",2016-2022,970.79
CC10472,Hawaii Election Campaign Fund,2016-2022,500.00
CC10472,Membership & Subscription Fees,2016-2022,422.00
CC10472,Events & Activities,2016-2022,460.71
CC10472,Food & Beverages,2016-2022,41787.73
CC10472,"Contract, Employee & Professional Services",2016-2022,29265.98
CC10478,Office Supplies,2006-2008,199.71
CC10478,Food & Beverages,2006-2008,50.00
